Trial,Fern Number,Healthy Fronds,Crispy Fronds,Fiddleheads,Root Rating (tentative),Number of Weevils,Notes
Inoculation Trial Two,EURB3,8,21,2,2,1,"adult weevil, earthworms"
Inoculation Trial Two,EURB4,0,12,1,3,0,
Inoculation Trial Two,EURB5,3,16,1,2,0,"healthy fronds dwarfed, earthworms, weevil larvae and exoskeletons"
Inoculation Trial Two,EURB6,3,13,3,3,2,earthworm
Inoculation Trial Two,BLAA1,34,2,3,2,0,weevil larvae
Inoculation Trial Two,BLAA2,0,22,1,3,0,centipedes
Inoculation Trial Two,BLAA3,16,0,3,3,1,
Inoculation Trial Two,BLAA4,6,10,1,3,0,centipede
Inoculation Trial Two,BLAA5,13,11,2,3,0,"centipede, earthworm"
Inoculation Trial Two,BLAA6,9,15,2,2,1,weevil larvae
Inoculation Trial Two,BLAB1,0,13,1,3,0,
Inoculation Trial Two,BLAB2,5,23,2,2,2,weevil larvae
Inoculation Trial Two,BLAB3,2,22,2,1,2,weevil larvae
Inoculation Trial Two,BLAB4,8,15,2,3,2,
Inoculation Trial Two,BLAB5,4,11,1,1,0,weevil larvae
Inoculation Trial Two,BLAB6,0,5,2,3,0,"centipedes, earrhworms"
Inoculation Trial Two,OBSA1,4,25,2,3,0,
Inoculation Trial Two,OBSA2,5,16,3,2,1,weevil larvae
Inoculation Trial Two,OBSA3,6,13,2,3,0,
Inoculation Trial Two,OBSA4,11,7,2,2,0,
Inoculation Trial Two,OBSA5,16,16,2,2,4,"dwarfed fronds, wide fronds, weevil larvae"
Inoculation Trial Two,OBSA6,6,19,3,2,1,weevil larvae
Inoculation Trial Two,OBSB1,2,13,3,3,1,"centipedes, earrhworms"
Inoculation Trial Two,OBSB2,0,13,2,2,0,"centipede, weevil larvae, earthworms"
Inoculation Trial Two,OBSB3,8,22,2,3,1,"earthworm, centipede"
Inoculation Trial Two,OBSB4,4,16,1,3,3,earthworm
Inoculation Trial Two,OBSB5,12,12,3,2,2,weevil larvae and earthworms
Inoculation Trial Two,OBSB6,7,27,2,3,2,
Inoculation Trial Two,SYRA1,2,19,1,3,0,earthworm
Inoculation Trial Two,SYRA2,9,8,2,3,0,earthworm
Inoculation Trial Two,SYRA3,8,21,3,2,2,weevil larvae exoskeleton
Inoculation Trial Two,SYRA4,14,6,2,3,1,
Inoculation Trial Two,SYRA5,6,21,2,2,1,weevil larvae
Inoculation Trial Two,SYRA6,10,23,1,3,1,
Inoculation Trial Two,SYRB1,19,17,3,3,4,
Inoculation Trial Two,SYRB2,5,12,2,3,1,
Inoculation Trial Two,SYRB3,0,11,2,3,0,earthworms
Inoculation Trial Two,SYRB4,11,14,1,3,1,"earthworms, centipedes"
Inoculation Trial Two,SYRB5,9,9,3,2,1,weevil larvae
Inoculation Trial Two,SYRB6,7,17,2,3,1,
Inoculation Trial One,BLAA155,0,29,0,,,
Inoculation Trial One,BLAA156,15,29,0,,,
Inoculation Trial One,BLAA157,14,33,1,,,
Inoculation Trial One,BLAB164,12,52,2,,,
Inoculation Trial One,BLAB165,9,36,2,,,
Inoculation Trial One,BLAB166,9,30,0,,,
Inoculation Trial One,OCCA098,8,39,0,,,
Inoculation Trial One,OCCA099,7,26,1,,,
Inoculation Trial One,OCCA100,16,27,0,,,
Inoculation Trial One,OCCB113,12,31,2,,,
Inoculation Trial One,OCCB114,6,10,0,,,
Inoculation Trial One,OCCB115,0,16,0,,,
Inoculation Trial One,PLUA025,12,28,0,,,
Inoculation Trial One,PLUA026,15,34,0,,,
Inoculation Trial One,PLUA027,14,25,1,,,
Inoculation Trial One,PLUB034,4,31,0,,,
Inoculation Trial One,PLUB035,2,30,0,,,
Inoculation Trial One,PLUB036,5,28,0,,,
Inoculation Trial One,SYRA001,0,28,0,,,
Inoculation Trial One,SYRA002,1,19,0,,,
Inoculation Trial One,SYRA003,6,41,1,,,
Inoculation Trial One,SYRA004,8,35,0,,,
Inoculation Trial One,SYRA005,16,44,2,,,
Inoculation Trial One,SYRA006,24,29,1,,,
Inoculation Trial One,SYRB013,4,30,2,,,
Inoculation Trial One,SYRB014,12,26,1,,,
Inoculation Trial One,SYRB015,8,28,1,,,
Inoculation Trial One,SYRB016,11,34,0,,,
Inoculation Trial One,SYRB017,20,47,0,,,
Inoculation Trial One,SYRB018,20,37,0,,,
Inoculation Trial One,NONE043,9,15,2,,,
Inoculation Trial One,NONE173,9,20,1,,,
Inoculation Trial One,NONE174,36,27,4,,,
Inoculation Trial One,GINA128,3,30,0,,,
Inoculation Trial One,GINA129,9,45,2,,,
Inoculation Trial One,GINA130,3,39,0,,,
Inoculation Trial One,GINB137,21,41,0,,,
Inoculation Trial One,GINB138,19,33,1,,,
Inoculation Trial One,GINB139,6,39,0,,,
Inoculation Trial One,GINC146,6,32,0,,,
Inoculation Trial One,GINC147,15,30,0,,,
Inoculation Trial One,GINC148,12,32,0,,,
Inoculation Trial One,FLEX071,19,23,2,,,
Inoculation Trial One,FLEX072,10,38,1,,,
Inoculation Trial One,FLEX073,8,8,2,,,
Inoculation Trial One,CACA080,6,32,2,,,
Inoculation Trial One,CACA081,1,28,0,,,
Inoculation Trial One,CACA082,15,23,1,,,
Inoculation Trial One,CACB089,1,41,0,,,
Inoculation Trial One,CACB090,3,20,0,,,
Inoculation Trial One,CACB091,16,35,3,,,
Inoculation Trial One,EURA062,13,20,4,,,
Inoculation Trial One,EURA063,12,36,1,,,
Inoculation Trial One,EURA064,10,38,4,,,
Inoculation Trial One,CAMA044,15,36,1,,,
Inoculation Trial One,CAMA045,10,15,0,,,
Inoculation Trial One,CAMA046,14,42,0,,,
Inoculation Trial One,CAMB053,13,23,5,,,
Inoculation Trial One,CAMB054,8,29,0,,,
Inoculation Trial One,CAMB055,0,32,1,,,
