"Trial.x","Fern.Number","Healthy.Fronds","Crispy.Fronds","Fiddleheads","Root.Rating..tentative.","Number.of.Weevils","Notes","Experiment","Trial.y","Treatment","Weight..g."
"Inoculation Trial One","CACB090",3,20,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",3.32
"Inoculation Trial One","CACB091",16,35,3,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cactorum",6.12
"Inoculation Trial One","CAMA044",15,36,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",6.12
"Inoculation Trial One","CAMA045",10,15,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",3.56
"Inoculation Trial One","CAMA046",14,42,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",8
"Inoculation Trial Two","CAMA1",1,6,1,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMA2",15,16,1,3,0,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","CAMA3",7,19,2,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMA4",9,15,3,2,3,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","CAMA5",0,14,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMA6",1,15,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial One","CAMB053",13,23,5,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",14.21
"Inoculation Trial One","CAMB054",8,29,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",4.24
"Inoculation Trial One","CAMB055",0,32,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora cambivora",9.52
"Inoculation Trial Two","CAMB1",16,3,3,3,0,"centipedes, earthworms",NA,NA,NA,NA
"Inoculation Trial Two","CAMB2",10,17,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMB3",19,8,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMB4",7,14,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMB5",15,13,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","CAMB6",7,14,3,3,1,"",NA,NA,NA,NA
"Inoculation Trial One","EURA062",13,20,4,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","EURA063",12,36,1,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","EURA064",10,38,4,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial Two","EURA1",7,16,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","EURA2",12,15,2,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","EURA3",0,17,1,3,0,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","EURA4",7,21,2,2,1,"baby earthworm, adult weevil",NA,NA,NA,NA
"Inoculation Trial Two","EURA5",5,6,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","EURA6",0,20,1,2,1,"juvenile weevil",NA,NA,NA,NA
"Inoculation Trial Two","EURB1",4,25,2,2,0,"dwarfed fronds, weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","EURB2",3,12,2,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","EURB3",8,21,2,2,1,"adult weevil, earthworms",NA,NA,NA,NA
"Inoculation Trial Two","EURB4",0,12,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","EURB5",3,16,1,2,0,"healthy fronds dwarfed, earthworms, weevil larvae and exoskeletons",NA,NA,NA,NA
"Inoculation Trial Two","EURB6",3,13,3,3,2,"earthworm",NA,NA,NA,NA
"Inoculation Trial One","FLEX071",19,23,2,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora flexuosa",5.68
"Inoculation Trial One","FLEX072",10,38,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora flexuosa",4.01
"Inoculation Trial One","FLEX073",8,8,2,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora flexuosa",5.96
"Inoculation Trial One","GINA128",3,30,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",6.87
"Inoculation Trial One","GINA129",9,45,2,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",7.4
"Inoculation Trial One","GINA130",3,39,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",6.75
"Inoculation Trial One","GINB137",21,41,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",9.57
"Inoculation Trial One","GINB138",19,33,1,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",6.34
"Inoculation Trial One","GINB139",6,39,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",13.02
"Inoculation Trial One","GINC146",6,32,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",3.93
"Inoculation Trial One","GINC147",15,30,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",10.51
"Inoculation Trial One","GINC148",12,32,0,NA,NA,"","Inoculation","Inoculation Trial One","Globisporangium intermedium",3.7
"Inoculation Trial One","NONE043",9,15,2,NA,NA,"","Inoculation","Inoculation Trial One","Control - No Rice",6.21
"Inoculation Trial One","NONE173",9,20,1,NA,NA,"","Inoculation","Inoculation Trial One","Control - No Rice",4.96
"Inoculation Trial One","NONE174",36,27,4,NA,NA,"","Inoculation","Inoculation Trial One","Control - No Rice",8.62
"Inoculation Trial Two","NONEA1",9,9,3,3,0,"Worm in roots, unclear why plant appears unhealthy ",NA,NA,NA,NA
"Inoculation Trial Two","NONEA2",9,16,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEA3",14,1,3,3,2,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEA4",18,7,3,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEA5",15,9,3,3,2,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEA6",26,8,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEB1",15,15,2,3,1,"Found weevil in none ferns unsure which one specifically",NA,NA,NA,NA
"Inoculation Trial Two","NONEB2",4,14,2,3,0,"tiny earthworm",NA,NA,NA,NA
"Inoculation Trial Two","NONEB3",12,19,2,2,0,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEB4",8,6,2,3,2,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","NONEB5",9,6,2,3,3,"",NA,NA,NA,NA
"Inoculation Trial Two","NONEB6",12,8,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OBSA1",4,25,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OBSA2",5,16,3,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","OBSA3",6,13,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OBSA4",11,7,2,2,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OBSA5",16,16,2,2,4,"dwarfed fronds, wide fronds, weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","OBSA6",6,19,3,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","OBSB1",2,13,3,3,1,"centipedes, earrhworms",NA,NA,NA,NA
"Inoculation Trial Two","OBSB2",0,13,2,2,0,"centipede, weevil larvae, earthworms",NA,NA,NA,NA
"Inoculation Trial Two","OBSB3",8,22,2,3,1,"earthworm, centipede",NA,NA,NA,NA
"Inoculation Trial Two","OBSB4",4,16,1,3,3,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","OBSB5",12,12,3,2,2,"weevil larvae and earthworms",NA,NA,NA,NA
"Inoculation Trial Two","OBSB6",7,27,2,3,2,"",NA,NA,NA,NA
"Inoculation Trial One","OCCA098",8,39,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",8.72
"Inoculation Trial One","OCCA099",7,26,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",4.86
"Inoculation Trial Two","OCCA1",21,2,3,3,2,"",NA,NA,NA,NA
"Inoculation Trial One","OCCA100",16,27,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",4.64
"Inoculation Trial Two","OCCA2",15,4,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCA3",19,2,2,3,1,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","OCCA4",7,4,3,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCA5",2,13,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCA6",15,6,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCB1",4,13,2,3,0,"earthworm",NA,NA,NA,NA
"Inoculation Trial One","OCCB113",12,31,2,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",6.94
"Inoculation Trial One","OCCB114",6,10,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",6.35
"Inoculation Trial One","OCCB115",0,16,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora occultans",3.65
"Inoculation Trial Two","OCCB2",2,14,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCB3",32,8,3,3,1,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","OCCB4",11,10,2,2,1,"juvenile weevil",NA,NA,NA,NA
"Inoculation Trial Two","OCCB5",3,6,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","OCCB6",14,9,3,3,0,"",NA,NA,NA,NA
"Seward Trial Two","P01",5,31,1,NA,NA,"P01-P09 on table 1, didn't get watered for ~2 weeks affecting frond conditions","Seward Soil","Seward Trial Two","Control - Potting Mix",25.11
"Seward Trial Two","P02",16,24,1,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",26.91
"Seward Trial Two","P03",5,29,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",20.89
"Seward Trial Two","P04",21,11,1,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",8.88
"Seward Trial Two","P05",21,13,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",14.06
"Seward Trial Two","P06",24,11,2,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",17.31
"Seward Trial Two","P07",18,18,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",20.86
"Seward Trial Two","P08",4,20,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",14.17
"Seward Trial Two","P09",17,10,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",21.02
"Seward Trial Two","P10",13,12,3,NA,NA,"start of table 2","Seward Soil","Seward Trial Two","Control - Potting Mix",12.26
"Seward Trial Two","P11",15,30,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",18.03
"Seward Trial Two","P12",28,27,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",20.18
"Seward Trial Two","P13",11,2,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",9.02
"Seward Trial Two","P14",11,23,2,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",12.83
"Seward Trial Two","P15",16,28,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",18
"Seward Trial Two","P16",26,28,3,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",14.63
"Seward Trial Two","P17",14,19,0,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",19.41
"Seward Trial Two","P18",21,32,2,NA,NA,"","Seward Soil","Seward Trial Two","Control - Potting Mix",13.56
"Inoculation Trial One","PLUA025",12,28,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",15.82
"Inoculation Trial One","PLUA026",15,34,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",20.82
"Inoculation Trial One","PLUA027",14,25,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",6.06
"Inoculation Trial Two","PLUA1",12,15,2,3,2,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUA2",24,5,3,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUA3",9,13,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUA4",4,9,1,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUA5",6,12,3,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUA6",11,35,3,3,3,"",NA,NA,NA,NA
"Inoculation Trial One","PLUB034",4,31,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",6.27
"Inoculation Trial One","PLUB035",2,30,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",4.66
"Inoculation Trial One","PLUB036",5,28,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora plurivora",9.3
"Inoculation Trial Two","PLUB1",9,15,2,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUB2",2,20,1,3,0,"",NA,NA,NA,NA
"Inoculation Trial Two","PLUB3",10,16,3,2,0,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","PLUB4",11,35,2,1,3,"weevil larvae and adult weevil",NA,NA,NA,NA
"Inoculation Trial Two","PLUB5",13,24,2,3,2,"larvae and transitional larvae",NA,NA,NA,NA
"Inoculation Trial Two","PLUB6",8,14,3,2,2,"",NA,NA,NA,NA
"Inoculation Trial One","SYRA001",0,28,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",5.04
"Inoculation Trial One","SYRA002",1,19,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",4.26
"Inoculation Trial One","SYRA003",6,41,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",7.11
"Inoculation Trial One","SYRA004",8,35,0,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",5.73
"Inoculation Trial One","SYRA005",16,44,2,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",9.64
"Inoculation Trial One","SYRA006",24,29,1,NA,NA,"","Inoculation","Inoculation Trial One","Phytophthora syringae",13.24
"Inoculation Trial Two","SYRA1",2,19,1,3,0,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","SYRA2",9,8,2,3,0,"earthworm",NA,NA,NA,NA
"Inoculation Trial Two","SYRA3",8,21,3,2,2,"weevil larvae exoskeleton",NA,NA,NA,NA
"Inoculation Trial Two","SYRA4",14,6,2,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","SYRA5",6,21,2,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","SYRA6",10,23,1,3,1,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB013",4,30,2,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB014",12,26,1,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB015",8,28,1,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB016",11,34,0,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB017",20,47,0,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial One","SYRB018",20,37,0,NA,NA,"",NA,NA,NA,NA
"Inoculation Trial Two","SYRB1",19,17,3,3,4,"",NA,NA,NA,NA
"Inoculation Trial Two","SYRB2",5,12,2,3,1,"",NA,NA,NA,NA
"Inoculation Trial Two","SYRB3",0,11,2,3,0,"earthworms",NA,NA,NA,NA
"Inoculation Trial Two","SYRB4",11,14,1,3,1,"earthworms, centipedes",NA,NA,NA,NA
"Inoculation Trial Two","SYRB5",9,9,3,2,1,"weevil larvae",NA,NA,NA,NA
"Inoculation Trial Two","SYRB6",7,17,2,3,1,"",NA,NA,NA,NA
"Seward Trial One","W01",33,1,1,NA,0,"","Seward Soil","Seward Trial One","Wild",8.05
"Seward Trial One","W02",14,12,0,NA,0,"","Seward Soil","Seward Trial One","Wild",16.5
"Seward Trial One","W03",7,4,0,NA,0,"","Seward Soil","Seward Trial One","Wild",8.37
