Measurement,Measurement Period,Conductance,Temperature,Sample ID,Plant Number,Trail,Treatment,Plant.Measurement,Sensor,Sensor,Leaf Sensor,Filter Sensor,Sensor,Sensor,Sensor,Sensor
1/29/2025 2:24 PM,Measurement 1,187.2,26.0,C27-1,C27,1,Sterilized,1,LPS4408,2502000,37.2,18.2,,,,
1/29/2025 2:26 PM,Measurement 1,168.3,26.3,C27-2,C27,1,Sterilized,2,LPS4408,2502000,34.9,16.7,,,,
1/29/2025 2:27 PM,Measurement 1,351.9,26.5,W27-1,W27,1,Wild,1,LPS4408,2502000,48.4,23.9,,,,
1/29/2025 2:31 PM,Measurement 1,426.3,26.8,C26-1,C26,1,Sterilized,1,LPS4408,2502000,51.5,25.6,,,,
1/29/2025 2:33 PM,Measurement 1,202.0,26.7,C26-2,C26,1,Sterilized,2,LPS4408,2502000,38.5,18.7,,,,
1/29/2025 2:34 PM,Measurement 1,291.9,26.7,W26-1,W26,1,Wild,1,LPS4408,2502000,45.4,22.7,,,,
1/29/2025 2:35 PM,Measurement 1,313.4,26.8,W26-2,W26,1,Wild,2,LPS4408,2502000,45.1,21.0,,,,
1/29/2025 2:37 PM,Measurement 1,212.2,26.8,C28-1,C28,1,Sterilized,1,LPS4408,2502000,39.8,19.8,,,,
1/29/2025 2:38 PM,Measurement 1,414.0,26.7,C28-2,C28,1,Sterilized,2,LPS4408,2502000,50.6,24.7,,,,
1/29/2025 2:39 PM,Measurement 1,182.1,26.6,W28-1,W28,1,Wild,1,LPS4408,2502000,37.4,18.8,,,,
1/29/2025 2:41 PM,Measurement 1,461.9,26.5,W28-2,W28,1,Wild,2,LPS4408,2502000,52.5,25.7,,,,
1/29/2025 2:42 PM,Measurement 1,328.6,26.4,C31-1,C31,1,Sterilized,1,LPS4408,2502000,48.0,24.5,,,,
1/29/2025 2:44 PM,Measurement 1,234.4,26.3,C31-2,C31,1,Sterilized,2,LPS4408,2502000,41.3,20.3,,,,
1/29/2025 2:45 PM,Measurement 1,207.3,26.2,W31-1,W31,1,Wild,1,LPS4408,2502000,38.6,18.6,,,,
1/29/2025 2:46 PM,Measurement 1,234.3,26.1,W31-2,W31,1,Wild,2,LPS4408,2502000,40.9,19.8,,,,
1/29/2025 2:48 PM,Measurement 1,140.6,26.0,C34-1,C34,1,Sterilized,1,LPS4408,2502000,32.4,15.9,,,,
1/29/2025 2:49 PM,Measurement 1,117.9,25.9,C34-2,C34,1,Sterilized,2,LPS4408,2502000,29.6,14.7,,,,
1/29/2025 2:51 PM,Measurement 1,249.5,26.1,W34-1,W34,1,Wild,1,LPS4408,2502000,42.7,21.2,,,,
1/29/2025 2:54 PM,Measurement 1,216.2,26.4,W34-2,W34,1,Wild,2,LPS4408,2502000,40.6,20.6,,,,
1/29/2025 2:55 PM,Measurement 1,202.1,26.4,C38-1,C38,1,Sterilized,1,LPS4408,2502000,39.6,20.2,,,,
1/29/2025 2:57 PM,Measurement 1,1366.1,26.4,C38-2,C38,1,Sterilized,2,LPS4408,2502000,66.4,32.6,,,,
1/29/2025 2:59 PM,Measurement 1,335.0,26.3,W38-1,W38,1,Wild,1,LPS4408,2502000,48.0,24.1,,,,
1/29/2025 3:02 PM,Measurement 1,259.4,26.2,W38-2,W38,1,Wild,2,LPS4408,2502000,43.8,22.2,,,,
1/29/2025 3:11 PM,Measurement 1,204.8,26.4,C40-1,C40,1,Sterilized,1,LPS4408,2502000,39.9,20.4,,,,
1/29/2025 3:13 PM,Measurement 1,436.7,26.7,C40-2,C40,1,Sterilized,2,LPS4408,2502000,52.6,26.8,,,,
1/29/2025 3:15 PM,Measurement 1,261.8,26.6,W40-1,W40,1,Wild,1,LPS4408,2502000,43.9,22.2,,,,
1/29/2025 3:16 PM,Measurement 1,372.8,26.5,W40-2,W40,1,Wild,2,LPS4408,2502000,48.9,23.8,,,,
1/29/2025 3:23 PM,Measurement 1,353.4,25.8,C44-1,C44,1,Sterilized,1,LPS4408,2502000,48.6,24.1,,,,
1/29/2025 3:25 PM,Measurement 1,159.3,25.1,C44-2,C44,1,Sterilized,2,LPS4408,2502000,35.3,17.9,,,,
1/29/2025 3:27 PM,Measurement 1,261.2,24.8,W44-1,W44,1,Wild,1,LPS4408,2502000,42.6,20.4,,,,
1/29/2025 3:28 PM,Measurement 1,346.2,24.6,W44-2,W44,1,Wild,2,LPS4408,2502000,47.9,23.4,,,,
1/29/2025 3:29 PM,Measurement 1,353.2,24.5,C52-1,C52,2,Sterilized,1,LPS4408,2502000,49.1,24.8,,,,
1/29/2025 3:31 PM,Measurement 1,155.9,24.6,C52-2,C52,2,Sterilized,2,LPS4408,2502000,34.4,17.1,,,,
1/29/2025 3:32 PM,Measurement 1,405.6,24.6,W52-1,W52,2,Wild,1,LPS4408,2502000,51.4,26.0,,,,
1/29/2025 3:35 PM,Measurement 1,410.1,24.6,W52-2,W52,2,Wild,2,LPS4408,2502000,51.0,25.3,,,,
1/29/2025 3:59 PM,Measurement 1,258.9,23.3,P02-1,P02,2,Potted,1,LPS4408,2502000,44.1,22.5,,,,
1/29/2025 4:00 PM,Measurement 1,1161.3,23.3,P02-2,P02,2,Potted,2,LPS4408,2502000,63.7,29.7,,,,
1/29/2025 4:02 PM,Measurement 1,338.3,23.2,P04-1,P04,2,Potted,1,LPS4408,2502000,48.1,23.9,,,,
1/29/2025 4:04 PM,Measurement 1,399.3,23.2,P04-2,P04,2,Potted,2,LPS4408,2502000,49.9,24.0,,,,
1/29/2025 4:11 PM,Measurement 1,300.7,22.6,W54-1,W54,2,Wild,1,LPS4408,2502000,46.6,23.6,,,,
1/29/2025 4:12 PM,Measurement 1,330.9,22.5,W54-2,W54,2,Wild,2,LPS4408,2502000,47.8,23.9,,,,
1/29/2025 4:14 PM,Measurement 1,311.4,22.4,C54-1,C54,2,Sterilized,1,LPS4408,2502000,46.7,23.3,,,,
1/29/2025 4:16 PM,Measurement 1,290.9,22.5,C54-2,C54,2,Sterilized,2,LPS4408,2502000,46.0,23.3,,,,
1/29/2025 4:17 PM,Measurement 1,279.0,22.3,C60-1,C60,2,Sterilized,1,LPS4408,2502000,44.5,21.9,,,,
1/29/2025 4:19 PM,Measurement 1,150.1,22.2,C60-2,C60,2,Sterilized,2,LPS4408,2502000,33.6,16.4,,,,
1/29/2025 4:20 PM,Measurement 1,164.7,22.1,W60-1,W60,2,Wild,1,LPS4408,2502000,35.2,17.2,,,,
1/29/2025 4:22 PM,Measurement 1,192.4,21.9,W60-2,W60,2,Wild,2,LPS4408,2502000,37.4,17.8,,,,
1/29/2025 4:25 PM,Measurement 1,346.4,21.7,P07-1,P07,2,Potted,1,LPS4408,2502000,49.0,24.9,,,,
1/29/2025 4:27 PM,Measurement 1,174.8,21.6,P07-2,P07,2,Potted,2,LPS4408,2502000,37.0,18.6,,,,
1/29/2025 4:28 PM,Measurement 1,168.8,21.4,P09-1,P09,2,Potted,1,LPS4408,2502000,36.2,18.1,,,,
1/29/2025 4:30 PM,Measurement 1,227.9,21.3,P09-2,P09,2,Potted,2,LPS4408,2502000,41.5,20.8,,,,
1/29/2025 4:32 PM,Measurement 1,192.5,21.2,P11-1,P11,2,Potted,1,LPS4408,2502000,38.6,19.3,,,,
1/29/2025 4:34 PM,Measurement 1,230.0,21.3,P11-2,P11,2,Potted,2,LPS4408,2502000,41.6,20.7,,,,
2/5/2025 1:13 PM,Measurement 2,57.6,22.4,C02-1,C02,1,Sterilized,1,LPS4408,2302903,24.2,12.1,,,,
2/5/2025 1:14 PM,Measurement 2,129.9,22.2,C02-2,C02,1,Sterilized,2,LPS4408,2302903,38.5,19.5,,,,
2/5/2025 1:16 PM,Measurement 2,79.1,21.9,W02-1,W02,1,Wild,1,LPS4408,2302903,29.5,14.8,,,,
2/5/2025 1:17 PM,Measurement 2,103.5,21.7,W02-2,W02,1,Wild,2,LPS4408,2302903,33.5,16.3,,,,
2/5/2025 1:18 PM,Measurement 2,188.8,21.6,C08-1,C08,1,Sterilized,1,LPS4408,2302903,44.9,22.6,,,,
2/5/2025 1:20 PM,Measurement 2,135.5,21.5,C08-2,C08,1,Sterilized,2,LPS4408,2302903,39.0,19.6,,,,
2/5/2025 1:21 PM,Measurement 2,216.3,21.5,W08-1,W08,1,Wild,1,LPS4408,2302903,46.7,23.1,,,,
2/5/2025 1:23 PM,Measurement 2,386.9,21.5,W08-2,W08,1,Wild,2,LPS4408,2302903,55.5,27.1,,,,
2/5/2025 1:25 PM,Measurement 2,82.2,21.6,C15-1,C15,1,Sterilized,1,LPS4408,2302903,29.9,14.8,,,,
2/5/2025 1:27 PM,Measurement 2,244.9,21.6,C15-2,C15,1,Sterilized,2,LPS4408,2302903,49.9,25.7,,,,
2/5/2025 1:28 PM,Measurement 2,142.6,21.7,W15-1,W15,1,Wild,1,LPS4408,2302903,40.1,20.3,,,,
2/5/2025 1:31 PM,Measurement 2,192.1,22.0,W15-2,W15,1,Wild,2,LPS4408,2302903,44.9,22.4,,,,
2/5/2025 1:33 PM,Measurement 2,155.6,22.2,C18-1,C18,1,Sterilized,1,LPS4408,2302903,41.7,21.2,,,,
2/5/2025 1:34 PM,Measurement 2,180.0,22.3,C18-2,C18,1,Sterilized,2,LPS4408,2302903,43.5,21.5,,,,
2/5/2025 1:35 PM,Measurement 2,206.6,22.4,W18-1,W18,1,Wild,1,LPS4408,2302903,46.1,23.0,,,,
2/5/2025 1:37 PM,Measurement 2,168.0,22.6,W18-2,W18,1,Wild,2,LPS4408,2302903,42.2,20.8,,,,
2/5/2025 1:38 PM,Measurement 2,243.3,22.7,C20-1,C20,1,Sterilized,1,LPS4408,2302903,48.3,23.6,,,,
2/5/2025 1:40 PM,Measurement 2,274.5,22.9,C20-2,C20,1,Sterilized,2,LPS4408,2302903,50.3,24.5,,,,
2/5/2025 1:41 PM,Measurement 2,182.8,23.1,W20-1,W20,1,Wild,1,LPS4408,2302903,44.8,23.1,,,,
2/5/2025 1:43 PM,Measurement 2,339.8,23.2,W20-2,W20,1,Wild,2,LPS4408,2302903,54.0,27.0,,,,
2/5/2025 1:46 PM,Measurement 2,368.9,23.4,C21-1,C21,1,Sterilized,1,LPS4408,2302903,54.3,26.0,,,,
2/5/2025 1:48 PM,Measurement 2,460.8,23.7,C21-2,C21,1,Sterilized,2,LPS4408,2302903,58.5,29.3,,,,
2/5/2025 1:50 PM,Measurement 2,176.6,23.8,W21-1,W21,1,Wild,1,LPS4408,2302903,43.1,21.3,,,,
2/5/2025 1:52 PM,Measurement 2,121.7,23.9,W21-2,W21,1,Wild,2,LPS4408,2302903,36.9,18.5,,,,
2/5/2025 1:54 PM,Measurement 2,161.3,24.0,C27-1,C27,1,Sterilized,1,LPS4408,2302903,42.5,21.9,,,,
2/5/2025 1:55 PM,Measurement 2,110.1,24.1,C27-2,C27,1,Sterilized,2,LPS4408,2302903,34.5,16.9,,,,
2/5/2025 1:56 PM,Measurement 2,276.5,24.2,W27-1,W27,1,Wild,1,LPS4408,2302903,51.0,25.7,,,,
2/5/2025 1:58 PM,Measurement 2,196.3,24.2,W27-2,W27,1,Wild,2,LPS4408,2302903,45.1,22.4,,,,
2/5/2025 2:00 PM,Measurement 2,183.7,24.2,C33-1,C33,1,Sterilized,1,LPS4408,2302903,44.1,22.1,,,,
2/5/2025 2:01 PM,Measurement 2,201.8,24.2,C33-2,C33,1,Sterilized,2,LPS4408,2302903,45.8,23.0,,,,
2/5/2025 2:03 PM,Measurement 2,78.7,24.2,W33-1,W33,1,Wild,1,LPS4408,2302903,28.5,13.7,,,,
2/5/2025 2:05 PM,Measurement 2,82.9,24.3,W33-2,W33,1,Wild,2,LPS4408,2302903,29.9,14.8,,,,
2/5/2025 2:06 PM,Measurement 2,253.8,24.2,C36-1,C36,1,Sterilized,1,LPS4408,2302903,49.0,24.1,,,,
2/5/2025 2:09 PM,Measurement 2,168.8,24.3,C36-2,C36,1,Sterilized,2,LPS4408,2302903,42.5,21.1,,,,
2/5/2025 2:10 PM,Measurement 2,117.8,24.3,W36-1,W36,1,Wild,1,LPS4408,2302903,36.5,18.4,,,,
2/5/2025 2:12 PM,Measurement 2,165.5,24.3,W36-2,W36,1,Wild,2,LPS4408,2302903,42.8,21.9,,,,
2/5/2025 2:14 PM,Measurement 2,277.6,24.2,C41-1,C41,1,Sterilized,1,LPS4408,2302903,51.0,25.6,,,,
2/5/2025 2:18 PM,Measurement 2,255.8,24.1,C41-2,C41,1,Sterilized,2,LPS4408,2302903,49.1,24.1,,,,
2/5/2025 2:19 PM,Measurement 2,186.9,24.1,W41-1,W41,1,Wild,1,LPS4408,2302903,44.2,22.0,,,,
2/5/2025 2:21 PM,Measurement 2,190.8,24.2,W41-2,W41,1,Wild,2,LPS4408,2302903,44.3,21.8,,,,
2/5/2025 2:22 PM,Measurement 2,236.7,24.2,C44-1,C44,1,Sterilized,1,LPS4408,2302903,48.1,23.9,,,,
2/5/2025 2:24 PM,Measurement 2,184.5,24.3,C44-2,C44,1,Sterilized,2,LPS4408,2302903,43.7,21.5,,,,
2/5/2025 2:26 PM,Measurement 2,214.0,24.3,W44-1,W44,1,Wild,1,LPS4408,2302903,46.6,23.2,,,,
2/5/2025 2:27 PM,Measurement 2,220.1,24.3,W44-2,W44,1,Wild,2,LPS4408,2302903,47.0,23.4,,,,
2/5/2025 2:29 PM,Measurement 2,130.4,24.3,C46-1,C46,2,Sterilized,1,LPS4408,2302903,38.2,19.2,,,,
2/5/2025 2:30 PM,Measurement 2,86.9,24.2,C46-2,C46,2,Sterilized,2,LPS4408,2302903,31.3,15.9,,,,
2/5/2025 2:32 PM,Measurement 2,139.1,24.2,W46-1,W46,2,Wild,1,LPS4408,2302903,39.5,20.0,,,,
2/5/2025 2:33 PM,Measurement 2,98.1,24.2,W46-2,W46,2,Wild,2,LPS4408,2302903,32.8,16.2,,,,
2/5/2025 2:34 PM,Measurement 2,196.8,24.1,P02-1,P02,2,Potted,1,LPS4408,2302903,45.8,23.4,,,,
2/5/2025 2:36 PM,Measurement 2,239.7,24.0,P02-2,P02,2,Potted,2,LPS4408,2302903,49.0,24.9,,,,
2/5/2025 2:37 PM,Measurement 2,189.4,23.9,P03-1,P03,2,Potted,1,LPS4408,2302903,44.0,21.5,,,,
2/5/2025 2:39 PM,Measurement 2,264.2,23.8,P03-2,P03,2,Potted,2,LPS4408,2302903,50.1,25.0,,,,
2/5/2025 2:40 PM,Measurement 2,182.3,23.8,C50-1,C50,2,Sterilized,1,LPS4408,2302903,44.0,22.1,,,,
2/5/2025 2:41 PM,Measurement 2,227.7,23.9,C50-2,C50,2,Sterilized,2,LPS4408,2302903,47.9,24.1,,,,
2/5/2025 2:43 PM,Measurement 2,95.7,23.9,W50-1,W50,2,Wild,1,LPS4408,2302903,33.0,16.8,,,,
2/5/2025 2:44 PM,Measurement 2,367.2,23.9,W50-2,W50,2,Wild,2,LPS4408,2302903,54.9,27.1,,,,
2/5/2025 2:46 PM,Measurement 2,162.2,24.0,P05-1,P05,2,Potted,1,LPS4408,2302903,42.2,21.3,,,,
2/5/2025 2:47 PM,Measurement 2,148.0,24.1,P05-2,P05,2,Potted,2,LPS4408,2302903,41.0,21.1,,,,
2/5/2025 2:49 PM,Measurement 2,102.4,24.1,C55-1,C55,2,Sterilized,1,LPS4408,2302903,34.3,17.6,,,,
2/5/2025 2:50 PM,Measurement 2,206.5,24.1,C55-2,C55,2,Sterilized,2,LPS4408,2302903,45.9,22.8,,,,
2/5/2025 2:54 PM,Measurement 2,168.1,23.8,W55-1,W55,2,Wild,1,LPS4408,2302903,42.9,21.8,,,,
2/5/2025 2:56 PM,Measurement 2,102.3,23.7,W55-2,W55,2,Wild,2,LPS4408,2302903,32.9,15.8,,,,
2/5/2025 2:57 PM,Measurement 2,156.0,23.5,C56-1,C56,2,Sterilized,1,LPS4408,2302903,41.4,20.9,,,,
2/5/2025 2:58 PM,Measurement 2,123.3,23.5,C56-2,C56,2,Sterilized,2,LPS4408,2302903,36.9,18.3,,,,
2/5/2025 3:00 PM,Measurement 2,116.3,23.4,W56-1,W56,2,Wild,1,LPS4408,2302903,36.8,18.9,,,,
2/5/2025 3:02 PM,Measurement 2,137.0,23.4,W56-2,W56,2,Wild,2,LPS4408,2302903,39.4,20.1,,,,
2/5/2025 3:03 PM,Measurement 2,189.8,23.3,C58-1,C58,2,Sterilized,1,LPS4408,2302903,44.0,21.5,,,,
2/5/2025 3:05 PM,Measurement 2,160.6,23.2,C58-2,C58,2,Sterilized,2,LPS4408,2302903,41.3,20.3,,,,
2/5/2025 3:07 PM,Measurement 2,295.2,23.1,W58-1,W58,2,Wild,1,LPS4408,2302903,55.2,30.9,,,,
2/5/2025 3:12 PM,Measurement 2,172.2,23.5,W58-2,W58,2,Wild,2,LPS4408,2302903,43.3,22.0,,,,
2/5/2025 3:14 PM,Measurement 2,338.0,23.5,P06-1,P06,2,Potted,1,LPS4408,2302903,53.3,25.8,,,,
2/5/2025 3:16 PM,Measurement 2,206.7,23.4,P06-2,P06,2,Potted,2,LPS4408,2302903,45.9,22.8,,,,
2/5/2025 3:18 PM,Measurement 2,265.3,23.3,P07-1,P07,2,Potted,1,LPS4408,2302903,49.8,24.4,,,,
2/5/2025 3:20 PM,Measurement 2,223.9,23.2,P07-2,P07,2,Potted,2,LPS4408,2302903,47.0,23.0,,,,
2/5/2025 3:21 PM,Measurement 2,222.8,23.1,P08-1,P08,2,Potted,1,LPS4408,2302903,46.8,22.9,,,,
2/5/2025 3:23 PM,Measurement 2,192.5,23.1,P08-2,P08,2,Potted,2,LPS4408,2302903,44.7,22.2,,,,
2/5/2025 3:24 PM,Measurement 2,238.6,23.1,C67-1,C67,2,Sterilized,1,LPS4408,2302903,48.7,24.4,,,,
2/5/2025 3:26 PM,Measurement 2,75.1,23.0,C67-2,C67,2,Sterilized,2,LPS4408,2302903,27.4,12.9,,,,
2/5/2025 3:28 PM,Measurement 2,191.9,23.0,W67-1,W67,2,Wild,1,LPS4408,2302903,44.7,22.3,,,,
2/5/2025 3:30 PM,Measurement 2,184.1,23.0,W67-2,W67,2,Wild,2,LPS4408,2302903,43.3,20.9,,,,
2/5/2025 3:32 PM,Measurement 2,61.4,23.1,C76-1,C76,2,Sterilized,1,LPS4408,2302903,25.4,12.8,,,,
2/5/2025 3:33 PM,Measurement 2,196.3,23.1,C76-2,C76,2,Sterilized,2,LPS4408,2302903,45.1,22.5,,,,
2/5/2025 3:35 PM,Measurement 2,168.4,23.2,W76-1,W76,2,Wild,1,LPS4408,2302903,42.0,20.5,,,,
2/5/2025 3:36 PM,Measurement 2,181.8,23.1,W76-2,W76,2,Wild,2,LPS4408,2302903,43.7,21.6,,,,
2/5/2025 3:38 PM,Measurement 2,158.4,23.1,C78-1,C78,2,Sterilized,1,LPS4408,2302903,41.4,20.6,,,,
2/5/2025 3:39 PM,Measurement 2,151.5,23.1,C78-2,C78,2,Sterilized,2,LPS4408,2302903,40.7,20.3,,,,
2/5/2025 3:41 PM,Measurement 2,98.0,23.1,W78-1,W78,2,Wild,1,LPS4408,2302903,32.3,15.6,,,,
2/5/2025 3:42 PM,Measurement 2,83.2,23.1,W78-2,W78,2,Wild,2,LPS4408,2302903,29.8,14.6,,,,
2/5/2025 3:45 PM,Measurement 2,98.6,22.9,P14-1,P14,2,Potted,1,LPS4408,2302903,33.2,16.6,,,,
2/5/2025 3:47 PM,Measurement 2,165.7,22.7,P14-2,P14,2,Potted,2,LPS4408,2302903,42.1,20.8,,,,
2/5/2025 3:54 PM,Measurement 2,168.0,22.3,P16-1,P16,2,Potted,1,LPS4408,2302903,43.0,21.9,,,,
2/5/2025 3:55 PM,Measurement 2,88.6,22.2,P16-2,P16,2,Potted,2,LPS4408,2302903,31.0,15.2,,,,
2/5/2025 3:58 PM,Measurement 2,118.2,22.3,C84-1,C84,2,Sterilized,1,LPS4408,2302903,36.3,18.0,,,,
2/5/2025 3:59 PM,Measurement 2,69.6,22.5,C84-2,C84,2,Sterilized,2,LPS4408,2302903,26.9,13.1,,,,
2/5/2025 4:00 PM,Measurement 2,99.3,22.8,W84-1,W84,2,Wild,1,LPS4408,2302903,32.9,16.1,,,,
2/5/2025 4:02 PM,Measurement 2,145.8,23.0,W84-2,W84,2,Wild,2,LPS4408,2302903,40.1,20.1,,,,
2/5/2025 4:04 PM,Measurement 2,137.0,23.1,C88-1,C88,2,Sterilized,1,LPS4408,2302903,38.9,19.3,,,,
2/5/2025 4:05 PM,Measurement 2,164.2,23.0,C88-2,C88,2,Sterilized,2,LPS4408,2302903,42.0,20.9,,,,
2/5/2025 4:06 PM,Measurement 2,133.2,22.9,W88-1,W88,2,Wild,1,LPS4408,2302903,38.5,19.2,,,,
2/5/2025 4:08 PM,Measurement 2,146.5,22.7,W88-2,W88,2,Wild,2,LPS4408,2302903,39.6,19.3,,,,
2/14/2025 11:27 AM,Measurement 3,122.7,24.1,C07-1,C07,1,Sterilized,1,LPS4408,2302503,33.8,16.5,,,,
2/14/2025 11:28 AM,Measurement 3,188.8,23.9,C07-2,C07,1,Sterilized,2,LPS4408,2302503,41.6,20.5,,,,
2/14/2025 11:30 AM,Measurement 3,125.1,23.7,W07-1,W07,1,Wild,1,LPS4408,2302503,35.0,17.7,,,,
2/14/2025 11:31 AM,Measurement 3,228.2,23.6,W07-2,W07,1,Wild,2,LPS4408,2302503,45.1,22.4,,,,
2/14/2025 11:33 AM,Measurement 3,187.3,23.7,C09-1,C09,1,Sterilized,1,LPS4408,2302503,42.0,21.2,,,,
2/14/2025 11:36 AM,Measurement 3,158.5,23.8,C09-2,C09,1,Sterilized,2,LPS4408,2302503,38.9,19.4,,,,
2/14/2025 11:38 AM,Measurement 3,187.5,23.9,W09-1,W09,1,Wild,1,LPS4408,2302503,42.1,21.3,,,,
2/14/2025 11:39 AM,Measurement 3,89.0,23.9,W09-2,W09,1,Wild,2,LPS4408,2302503,28.9,14.5,,,,
2/14/2025 11:40 AM,Measurement 3,125.8,24.0,C10-1,C10,1,Sterilized,1,LPS4408,2302503,34.8,17.4,,,,
2/14/2025 11:42 AM,Measurement 3,204.6,24.1,C10-2,C10,1,Sterilized,2,LPS4408,2302503,42.4,20.4,,,,
2/14/2025 11:43 AM,Measurement 3,150.6,24.2,W10-1,W10,1,Wild,1,LPS4408,2302503,37.9,18.9,,,,
2/14/2025 11:45 AM,Measurement 3,106.1,24.3,W10-2,W10,1,Wild,2,LPS4408,2302503,31.7,15.8,,,,
2/14/2025 11:49 AM,Measurement 3,105.6,23.7,C15-1,C15,1,Sterilized,1,LPS4408,2302503,30.7,14.5,,,,
2/14/2025 11:50 AM,Measurement 3,106.5,23.6,C15-2,C15,1,Sterilized,2,LPS4408,2302503,31.8,15.9,,,,
2/14/2025 11:52 AM,Measurement 3,189.1,23.6,W15-1,W15,1,Wild,1,LPS4408,2302503,41.7,20.6,,,,
2/14/2025 11:53 AM,Measurement 3,172.7,23.6,W15-2,W15,1,Wild,2,LPS4408,2302503,40.3,20.0,,,,
2/14/2025 11:57 AM,Measurement 3,202.2,23.8,C23-1,C23,1,Sterilized,1,LPS4408,2302503,43.3,21.7,,,,
2/14/2025 11:59 AM,Measurement 3,300.8,24.0,C23-2,C23,1,Sterilized,2,LPS4408,2302503,50.2,25.5,,,,
2/14/2025 12:01 PM,Measurement 3,263.4,24.1,W23-1,W23,1,Wild,1,LPS4408,2302503,48.3,24.7,,,,
2/14/2025 12:02 PM,Measurement 3,83.4,24.3,W23-2,W23,1,Wild,2,LPS4408,2302503,26.3,12.2,,,,
2/14/2025 12:03 PM,Measurement 3,226.4,24.4,C25-1,C25,1,Sterilized,1,LPS4408,2302503,45.5,23.1,,,,
2/14/2025 12:05 PM,Measurement 3,164.3,24.6,C25-2,C25,1,Sterilized,2,LPS4408,2302503,39.6,19.9,,,,
