,Isolate.ID,Project,Primary.ioslation.date,Date.Extracted.x,Date,Location,Current.Isolate.Status,Phytophthora.likely.x,Morphology,Species,Ready.to.Extract,Media,Backup.Location,Notes.x,Sample.Extraction.Number,Sample.Number..Soil.or.Tissue.,Secondary.Isolation.Number,Sample.Substrate,Priority,Date.Extracted.y,Extraction.Kit,Qubit..ng.ul.,Notes.y,PCR.Amplification.Date,Successful.Amplification.,Tentative.Results..Internal.NCBI.Oomcycete.including.voucher.blast.,Genus,Oomycete,Sample,Isolate Number,Collection.Date,iNat.User,url,place_guess,latitude,longitude,scientific_name,common_name,plant.health.condition,plant.symptom,Dieback.percent,site.type,site.area.disturbance.level,site.hydrology,site.location.description,slope.position,percent.of.plants..of.same.species..affected.within.sight....,regeneration.present.,soil.sample.number,Phytophthora.likely.y,Notes,Notes.Extra
11,FZJ004-3 Soil,Swordfern Soil Bait Isolates,4/14/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,Group 19,Phytophthora syringae,yes,V8B,.,,FHL0100,FZJ004,3,Soil,,4/25/25,Prepman,1.3,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ004,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249523844,"Mercer Island, Mercer Island, WA, US",47.56516,-122.213,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,5,No Selection,SF4,Yes,,
12,FZJ005-1 Soil,Swordfern Soil Bait Isolates,4/9/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Phytopythium sp. 1,yes,V8B,,,FHL0101,FZJ005,1,Soil,,4/25/25,Prepman,1.93,,6/10/25,y,Phytopythium sp. 1,Phytopythium,Oomycete,FZJ005,1 Soil,10/28/24,figgywiggums,https://www.inaturalist.org/observations/249524480,"Mercer Island, Mercer Island, WA, US",47.56513,-122.213,Polystichum munitum,western sword fern,Dead,Dead,100,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,2,No there are not any new plants,SF5,,,
13,FZJ006-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 2,Elongisporangium anandrum ,yes,V8B,,,FHL0102,FZJ006,1,Soil,,4/25/25,Prepman,6.67,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ006,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249525347,"Mercer Island, Mercer Island, WA, US",47.5649,-122.213,Polystichum munitum,western sword fern,Dead,Dead,0,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,3,No there are not any new plants,SF6,,,
14,FZJ006-2 Soil,Swordfern Soil Bait Isolates,,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 2,Elongisporangium anandrum ,yes,V8B,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ006,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249525347,"Mercer Island, Mercer Island, WA, US",47.5649,-122.213,Polystichum munitum,western sword fern,Dead,Dead,0,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,3,No there are not any new plants,SF6,,,
15,FZJ007-1 Soil,Swordfern Soil Bait Isolates,4/14/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Mortierella,yes,V8B,,,FHL0103,FZJ007,1,Soil,,4/25/25,Prepman,6.58,,5/16/25,y,,,Fungi,FZJ007,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249527191,"Mercer Island, Mercer Island, WA, US",47.5651,-122.213,Polystichum munitum,western sword fern,Fair,No Selection,60,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,3,No there are not any new plants,SF7,,,
16,FZJ008-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora abietivora,yes,V8B,.,,FHL0104,FZJ008,1,Soil,,4/25/25,Prepman,2,,"5/16/2025, 5/20/25",y,Phytophthora europaea or abietivora?,Phytophthora,Oomycete,FZJ008,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249528415,"Mercer Island, Mercer Island, WA, US",47.56495,-122.213,Polystichum munitum,western sword fern,Good,Browning fronds,2,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Top of slope,1,No there are not any new plants,SF8,,,
17,FZJ009-1 Soil,Swordfern Soil Bait Isolates,4/14/25,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ009,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249528757,"Mercer Island, Mercer Island, WA, US",47.565,-122.213,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,40,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Middle of a slope,2,Yes there are new plants,SF9,,,
18,FZJ010-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Mortierella,yes,V8B,,,FHL0105,FZJ010,1,Soil,,4/25/25,Prepman,7.97,Not Sequenced,"5/16/2025, 5/20/25",y,,,,FZJ010,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249538374,"Mercer Island, Mercer Island, WA, US",47.56509,-122.212,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,45,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,1,No there are not any new plants,SF10,,,
19,FZJ010-2 Soil,Swordfern Soil Bait Isolates,4/10/24,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Mortierella,yes,V8B,,,FHL0106,FZJ010,2,Soil,,4/25/25,Prepman,0.598,Not Sequenced,"5/16/2025, 5/20/25",y,,,,FZJ010,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249538374,"Mercer Island, Mercer Island, WA, US",47.56509,-122.212,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,45,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,1,No there are not any new plants,SF10,,,
20,FZJ010-3 Soil,Swordfern Soil Bait Isolates,4/14/25,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,unknown,yes,V8B,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ010,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249538374,"Mercer Island, Mercer Island, WA, US",47.56509,-122.212,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,45,Suburban,"Low - fairly natural, not much development",Upland or well drained,Urban yard or open park grounds,Lower slope,1,No there are not any new plants,SF10,,,
21,FZJ011-1 Soil,Swordfern Soil Bait Isolates,4/10/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0107,FZJ011,1,Soil,Y,4/25/25,Prepman,1.16,,"5/8/2025, 5/13/25, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ011,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539500,"Seward Park, Seattle, WA, US",47.55448,-122.25,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,55,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,Yes there are new plants,seward sf1,Yes,,
22,FZJ011-2 Soil,Swordfern Soil Bait Isolates,4/10/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Globisporangium intermedium,yes,V8B,,originally labeled FZJ011-1,FHL0108,FZJ011,2,Soil,Y,4/25/25,Prepman,2.68,,"5/8/2025, 5/13/25, 5/16/25, 5/22/25",y,Globisporangium intermedium,Globisporangium,Oomycete,FZJ011,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539500,"Seward Park, Seattle, WA, US",47.55448,-122.25,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,55,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,Yes there are new plants,seward sf1,Yes,,
23,FZJ012-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Pythium attrantheridium,yes,V8B,,,FHL0109,FZJ012,1,Soil,Y,4/25/25,Prepman,10.8,,"5/8/2025, 5/16/25, 5/22/25",y,Pythium attrantheridium,Pythium,Oomycete,FZJ012,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539633,"Seward Park, Seattle, WA, US",47.55478,-122.25,Polystichum munitum,western sword fern,Dead,No Selection,100,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),3,No there are not any new plants,Seward sf2,Yes,,
24,FZJ012-2 Soil,Swordfern Soil Bait Isolates,4/10/24,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0110,FZJ012,2,Soil,Y,4/25/25,Prepman,1.17,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ012,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539633,"Seward Park, Seattle, WA, US",47.55478,-122.25,Polystichum munitum,western sword fern,Dead,No Selection,100,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),3,No there are not any new plants,Seward sf2,Yes,,
25,FZJ013-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Elongisporangium anandrum ,yes,V8B,,,FHL0111,FZJ013,1,Soil,Y,4/25/25,Prepman,9.07,,"5/8/2025, 5/16/25, 5/22/25",y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ013,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539788,"Seward Park, Seattle, WA, US",47.5549,-122.25,Polystichum munitum,western sword fern,No Selection,No Selection,100,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf3,,Cyathus Striatus growing on dead Fern,
26,FZJ013-2 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,,Elongisporangium anandrum ,yes,V8B,,,FHL0112,FZJ013,2,Soil,Y,4/25/25,Prepman,5,,"5/8/2025, 5/16/25, 5/22/25",y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ013,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539788,"Seward Park, Seattle, WA, US",47.5549,-122.25,Polystichum munitum,western sword fern,No Selection,No Selection,100,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf3,,Cyathus Striatus growing on dead Fern,
27,FZJ013-3 Soil,Swordfern Soil Bait Isolates,4/8/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0113,FZJ013,3,Soil,Y,4/25/25,Prepman,0.733,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ013,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539788,"Seward Park, Seattle, WA, US",47.5549,-122.25,Polystichum munitum,western sword fern,No Selection,No Selection,100,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf3,,Cyathus Striatus growing on dead Fern,
28,FZJ014-1 Soil,Swordfern Soil Bait Isolates,,,4/22/25,Soil Swordfern Isolates on PARPHV8,secondary,Y,,Phytophthora abietivora,no,PARPHV8,,,FHL0234,FZJ014,1,Soil,,6/4/25,Prepman,1.76,,6/12/25,y,Phytophthora europaea or abietivora?,Phytophthora,Oomycete,FZJ014,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249540600,"Seward Park, Seattle, WA, US",47.55563,-122.251,Polystichum munitum,western sword fern,No Selection,No Selection,75,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf4,Yes,,
29,FZJ014-2 Soil,Swordfern Soil Bait Isolates,4/8/25,,4/22/25,Soil Swordfern Isolates on PARPHV8,secondary,Y,,Phytophthora syringae,no,PARPHV8,,,FHL0235,FZJ014,2,Soil,,6/4/25,Prepman,0.443,,6/12/25,y,Phytophthora syringae,Phytophthora,Oomycete,FZJ014,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249540600,"Seward Park, Seattle, WA, US",47.55563,-122.251,Polystichum munitum,western sword fern,No Selection,No Selection,75,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf4,Yes,,
30,FZJ014-3 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0114,FZJ014,3,Soil,Y,4/25/25,Prepman,1.22,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ014,3 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249540600,"Seward Park, Seattle, WA, US",47.55563,-122.251,Polystichum munitum,western sword fern,No Selection,No Selection,75,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf4,Yes,,
31,FZJ015-1 Soil,Swordfern Soil Bait Isolates,4/10/25,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0115,FZJ015,1,Soil,Y,4/25/25,Prepman,1.02,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ015,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249542126,"Seward Park, Seattle, WA, US",47.55588,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,70,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),35,No there are not any new plants,Seward sf5,Yes,,
32,FZJ018-1 Soil,Swordfern Soil Bait Isolates,,,4/22/25,Soil Swordfern Isolates on PARPHV8,secondary,Y,,unknown,no,PARPHV8,,,FHL0232,FZJ018,1,Soil,,6/4/25,Prepman,0.985,not alligning,6/12/25,y,,,,FZJ018,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249543399,"Seward Park, Seattle, WA, US",47.55739,-122.252,Polystichum munitum,western sword fern,Good,Healthy,2,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,No there are not any new plants,Seward sf8,Yes,,
33,FZJ018-2 Soil,Swordfern Soil Bait Isolates,4/14/25,,4/22/25,Soil Swordfern Isolates on PARPHV8,secondary,Y,,Mortierella,no,PARPHV8,,,FHL0230,FZJ018,2,Soil,,6/4/25,Prepman,0.511,,6/12/25,,,,Fungi,FZJ018,2 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249543399,"Seward Park, Seattle, WA, US",47.55739,-122.252,Polystichum munitum,western sword fern,Good,Healthy,2,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,No there are not any new plants,Seward sf8,Yes,,
34,FZJ019-1 Soil,Swordfern Soil Bait Isolates,,4/25/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,Phytophthora syringae,yes,V8B,.,,FHL0116,FZJ019,1,Soil,Y,4/25/25,Prepman,1.05,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,FZJ019,1 Soil,10/28/24,imontejano05,https://www.inaturalist.org/observations/249658770,"Seward Park, Seattle, WA, US",NA,NA,Polystichum munitum,western sword fern,Good,Healthy,1,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,Not Sure,Seward sf9,Yes,"Original upload failed, no location",
35,FZJ020-1 Soil,Swordfern Soil Bait Isolates,,4/29/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 3,Elongisporangium anandrum ,yes,V8B,,,FHL0117,FZJ020,1,Soil,,4/29/25,Prepman,4.33,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,FZJ020,1 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451034,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 1,,,
36,FZJ020-2 Soil,Swordfern Soil Bait Isolates,,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 3,Elongisporangium anandrum ,yes,V8B,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ020,2 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451034,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 1,,,
37,FZJ022-1 Soil,Swordfern Soil Bait Isolates,,4/29/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,,"unknown, low quality sequence",yes,V8B,,,FHL0118,FZJ022,1,Soil,,4/29/25,Prepman,3.4,"faint band in gel, low quality sequence",5/16/25,y,,,,FZJ022,1 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451036,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Dead,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 3,,"No roots, soil sample only",
38,FZJ022-2 Soil,Swordfern Soil Bait Isolates,4/14/25,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,Group 20,Phytophthora syringae,yes,V8B,.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ022,2 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451036,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Dead,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 3,,"No roots, soil sample only",
39,FZJ022-3 Soil,Swordfern Soil Bait Isolates,4/14/25,4/29/25,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,Y,Group 20,Phytophthora syringae,yes,V8B,.,,FHL0119,FZJ022,3,Soil,,4/29/25,Prepman,2.89,,5/20/25,y,Phytophthora syringae,Phytophthora,Oomycete,FZJ022,3 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451036,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Dead,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 3,,"No roots, soil sample only",
40,FZJ024-1 Soil,Swordfern Soil Bait Isolates,,,4/18/25,V8 Broth Racks & Soil Swordfern Isolates,final,,Group 4,Globisporangium debaryanum,yes,V8B,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZJ024,1 Soil,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259453708,"Blakely Harbor, Bainbridge Island, WA, US",47.59663,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Inside a forest canopy,Lower slope,10,Yes there are new plants,fort ward site 2,,,
