Sample Extraction Number,Isolate Name,Sample Number (Soil or Tissue),Secondary Isolation Number,Sample Substrate,Priority,Date Extracted,Extraction Kit,Qubit (ng/ul),Notes,PCR Amplification Date,Successful Amplification?,Tentative Results (Internal NCBI Oomcycete including voucher blast),Genus,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0099,FZJ004-2 Soil,FZJ004,2,Soil,,4/25/25,Prepman,12.6,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0100,FZJ004-3 Soil,FZJ004,3,Soil,,4/25/25,Prepman,1.3,,"5/16/2025, 5/20/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0101,FZJ005-1 Soil,FZJ005,1,Soil,,4/25/25,Prepman,1.93,,6/10/25,y,Phytopythium sp. 1,Phytopythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0102,FZJ006-1 Soil,FZJ006,1,Soil,,4/25/25,Prepman,6.67,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0103,FZJ007-1 Soil,FZJ007,1,Soil,,4/25/25,Prepman,6.58,,5/16/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0104,FZJ008-1 Soil,FZJ008,1,Soil,,4/25/25,Prepman,2,,"5/16/2025, 5/20/25",y,Phytophthora europaea or abietivora?,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0105,FZJ010-1 Soil,FZJ010,1,Soil,,4/25/25,Prepman,7.97,Not Sequenced,"5/16/2025, 5/20/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0106,FZJ010-2 Soil,FZJ010,2,Soil,,4/25/25,Prepman,0.598,Not Sequenced,"5/16/2025, 5/20/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0107,FZJ011-1 Soil,FZJ011,1,Soil,Y,4/25/25,Prepman,1.16,,"5/8/2025, 5/13/25, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0108,FZJ011-2 Soil,FZJ011,2,Soil,Y,4/25/25,Prepman,2.68,,"5/8/2025, 5/13/25, 5/16/25, 5/22/25",y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0109,FZJ012-1 Soil,FZJ012,1,Soil,Y,4/25/25,Prepman,10.8,,"5/8/2025, 5/16/25, 5/22/25",y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0110,FZJ012-2 Soil,FZJ012,2,Soil,Y,4/25/25,Prepman,1.17,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0111,FZJ013-1 Soil,FZJ013,1,Soil,Y,4/25/25,Prepman,9.07,,"5/8/2025, 5/16/25, 5/22/25",y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0112,FZJ013-2 Soil,FZJ013,2,Soil,Y,4/25/25,Prepman,5,,"5/8/2025, 5/16/25, 5/22/25",y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0113,FZJ013-3 Soil,FZJ013,3,Soil,Y,4/25/25,Prepman,0.733,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0234,FZJ014-1 Soil,FZJ014,1,Soil,,6/4/25,Prepman,1.76,,6/12/25,y,Phytophthora europaea or abietivora?,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0235,FZJ014-2 Soil,FZJ014,2,Soil,,6/4/25,Prepman,0.443,,6/12/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0114,FZJ014-3 Soil,FZJ014,3,Soil,Y,4/25/25,Prepman,1.22,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0115,FZJ015-1 Soil,FZJ015,1,Soil,Y,4/25/25,Prepman,1.02,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0232,FZJ018-1 Soil,FZJ018,1,Soil,,6/4/25,Prepman,0.985,not alligning,6/12/25,y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0230,FZJ018-2 Soil,FZJ018,2,Soil,,6/4/25,Prepman,0.511,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0116,FZJ019-1 Soil,FZJ019,1,Soil,Y,4/25/25,Prepman,1.05,,"5/8/2025, 5/16/25, 5/22/25",y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0117,FZJ020-1 Soil,FZJ020,1,Soil,,4/29/25,Prepman,4.33,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0118,FZJ022-1 Soil,FZJ022,1,Soil,,4/29/25,Prepman,3.4,"faint band in gel, low quality sequence",5/16/25,y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0119,FZJ022-3 Soil,FZJ022,3,Soil,,4/29/25,Prepman,2.89,,5/20/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
,FZJ024-2 Soil,FZJ024,2,Soil,,6/4/25,Prepman,,appears contaminated,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0120,FZJ026-1 Soil,FZJ026,1,Soil,,4/29/25,Prepman,8.59,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0121,FZJ026-2 Soil,FZJ026,2,Soil,,4/29/25,Prepman,7.59,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0122,FZJ026-3 Soil,FZJ026,3,Soil,,4/29/25,Prepman,4.19,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0123,FZJ028-1 Soil,FZJ028,1,Soil,,4/29/25,Prepman,9.22,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0124,FZJ030-1 Soil,FZJ030,1,Soil,,4/29/25,Prepman,6.64,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0125,FZJ032-1 Soil,FZJ032,1,Soil,,4/29/25,Prepman,2.14,,5/20/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0126,FZJ032-2 Soil,FZJ032,2,Soil,,4/29/25,Prepman,8.14,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0239,FZJ033-1 Soil,FZJ033,1,Soil,,6/4/25,Prepman,0.812,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0127,FZJ034-2 Soil,FZJ034,2,Soil,,4/29/25,Prepman,9.93,,"5/20/2025, 5/22/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0128,FZJ036-1 Soil,FZJ036,1,Soil,,4/29/25,Prepman,11.9,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0129,FZJ038-1 Soil,FZJ038,1,Soil,,4/29/25,Prepman,8.89,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0225,FZJ038-2 Soil,FZJ038,2,Soil,,5/23/25,Prepman,10.5,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0130,FZJ040-1 Soil,FZJ040,1,Soil,,4/29/25,Prepman,4.73,,6/10/25,y,Phytophthora megasperma,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0131,FZJ041-1 Soil,FZJ041,1,Soil,,4/29/25,Prepman,9.39,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0132,FZJ042-1 Soil,FZJ042,1,Soil,,4/29/25,Prepman,7.57,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0133,FZJ042-2 Soil,FZJ042,2,Soil,,4/29/25,Prepman,9.99,,6/10/25,y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0134,FZJ044-1 Soil,FZJ044,1,Soil,,4/29/25,Prepman,5.68,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0135,FZJ044-3 Soil,FZJ044,3,Soil,,4/29/25,Prepman,1.89,,5/20/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0136,FZJ045-1 Soil,FZJ045,1,Soil,,4/29/25,Prepman,1.57,,5/20/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0137,FZJ045-2 Soil,FZJ045,2,Soil,,4/29/25,Prepman,9.52,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0138,FZJ045-3 Soil,FZJ045,3,Soil,,4/29/25,Prepman,1,,5/20/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0139,FZJ047-1 Soil,FZJ047,1,Soil,,4/29/25,Prepman,2.39,,6/10/25,y,Phytophthora occultans,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0140,FZJ047-2 Soil,FZJ047,2,Soil,,4/29/25,Prepman,3.2,,6/10/25,y,Phytophthora occultans,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
,FZJ049-1 Soil,FZJ049,1,Soil,,4/30/25,Prepman,,not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0071,FZJ051-2 ROOT,FZJ051,2,ROOT,,4/2/25,Prepman,3.32,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0141,FZJ052-1 Soil,FZJ052,1,Soil,,4/30/25,Prepman,8.91,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0142,FZJ053-2 Soil,FZJ053,2,Soil,,4/30/25,Prepman,9.83,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
,FZJ054-1 Root,FZJ054,1,Root,,6/4/25,Prepman,,Not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0143,FZJ054-1 Soil,FZJ054,1,Soil,,4/30/25,Prepman,1.8,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0092,FZJ054-2 ROOT,FZJ054,2,ROOT,Y,4/2/25,Prepman,5.65,,"5/8/2025, 5/13/25, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0144,FZJ055-1 Soil,FZJ055,1,Soil,,4/30/25,Prepman,8.08,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0145,FZJ055-2 Soil,FZJ055,2,Soil,,4/30/25,Prepman,9.05,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0146,FZJ056-1 Soil,FZJ056,1,Soil,,4/30/25,Prepman,4.79,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0069,FZJ056-3 ROOT,FZJ056,3,ROOT,,4/2/25,Prepman,4.63,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0147,FZJ058-1 Soil,FZJ058,1,Soil,,4/30/25,Prepman,11.9,low quality sequence,6/10/25,y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0090,FZJ060-1 ROOT,FZJ060,1,ROOT,Y,4/2/25,Prepman,8.29,,"5/8/2025, 5/13/25, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0148,FZJ060-1 Soil,FZJ060,1,Soil,,4/30/25,Prepman,3.83,,5/20/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0241,FZJ060-2 Soil,FZJ060,2,Soil,,6/4/25,Prepman,0.677,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
,FZJ060-3 Root,FZJ060,3,Root,Y,4/30/25,Prepman,,not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0149,FZJ063-1 Soil,FZJ063,1,Soil,,4/30/25,Prepman,8.82,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0150,FZJ065-1 Soil,FZJ065,1,Soil,,4/30/25,Prepman,4.41,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0151,FZJ066-1 Soil,FZJ066,1,Soil,,4/30/25,Prepman,0.919,,5/20/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0152,FZJ066-2 Soil,FZJ066,2,Soil,,4/30/25,Prepman,1.54,,5/20/25,y,Phytophthora cactorum,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0153,FZJ067-1 Soil,FZJ067,1,Soil,,4/30/25,Prepman,6.35,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0154,FZJ068-1 Root,FZJ068,1,Root,Y,4/30/25,Prepman,5.91,,"5/8/2025, 5/16/25, 5/22/25",y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
,FZJ068-1 Soil,FZJ068,1,Soil,,4/30/25,Prepman,,not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0088,FZJ068-2 ROOT,FZJ068,2,ROOT,Y,4/2/25,Prepman,4.08,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0073,FZJ068-3 ROOT,FZJ068,3,ROOT,,4/2/25,Prepman,1.35,,"5/2/2025, 5/7/25",Y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0155,FZJ068-3 Root,FZJ068,3,Root,Y,4/30/25,Prepman,5.51,,"5/8/2025, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0227,FZJ069-1 Soil,FZJ069,1,Soil,,6/4/25,Prepman,0.515,,6/12/25,y,Phytophthora pseudosyringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0077,FZJ070-1 ROOT,FZJ070,1,ROOT,Y,4/2/25,Prepman,6.02,faint band in gel; low quality sequence,"5/8/2025, 5/13/25",y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0156,FZJ070-1 Soil,FZJ070,1,Soil,,4/30/25,Prepman,1.85,,5/22/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0084,FZJ070-2 ROOT,FZJ070,2,ROOT,Y,4/2/25,Prepman,18.2,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0157,FZJ071-1 Soil,FZJ071,1,Soil,,4/30/25,Prepman,6.72,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0158,FZJ073-1 Root,FZJ073,1,Root,Y,4/30/25,Prepman,6.68,,"5/8/2025, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0159,FZJ074-1 Root,FZJ074,1,Root,Y,4/30/25,Prepman,7.95,,"5/8/2025, 5/16/25, 5/22/25",y,Elongisporangium anandrum ,Elongisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0160,FZJ074-1 Soil,FZJ074,1,Soil,,4/30/25,Prepman,9.18,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0161,FZJ074-2 Soil,FZJ074,2,Soil,,4/30/25,Prepman,3.83,,5/22/25,y,Phytophthora cambivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0162,FZJ074-3 Soil,FZJ074,3,Soil,,4/30/25,Prepman,3.78,,5/22/25,y,Phytophthora cambivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0163,FZJ075-1 Soil,FZJ075,1,Soil,,4/30/25,Prepman,4.52,,5/22/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0164,FZJ076-1 Soil,FZJ076,1,Soil,,4/30/25,Prepman,5.97,Not Sequenced,5/22/25,y,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0233,FZJ076-3 Soil,FZJ076,3,Soil,,6/4/25,Prepman,0.561,,6/12/25,y,Phytophthora syringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0165,FZJ078-1 Soil,FZJ078,1,Soil,,5/1/25,Prepman,53.9,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0166,FZJ079-3 Soil,FZJ079,3,Soil,,5/1/25,Prepman,14.5,,5/22/25,y,Phytophthora flexuosa?,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0167,FZJ080-1 Soil,FZJ080,1,Soil,,5/1/25,Prepman,9.05,May have been two isolates with same number or two plates of same isolate,5/22/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0168,FZJ080-1 Soil,FZJ080,1,Soil,,5/1/25,Prepman,20.1,May have been two isolates with same number or two plates of same isolate,5/22/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0085,FZJ081-1 ROOT,FZJ081,1,ROOT,Y,4/2/25,Prepman,16.9,,"5/8/2025, 5/13/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
,FZJ081-1 Soil,FZJ081,1,Soil,,5/1/25,Prepman,,not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHL0169,FZJ081-2 Soil,FZJ081,2,Soil,,5/1/25,Prepman,22.5,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0226,FZJ081-3 Soil,FZJ081,3,Soil,,6/4/25,Prepman,0.894,,6/12/25,y,Phytophthora obscura,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0170,FZJ082-1 Soil,FZJ082,1,Soil,,5/1/25,Prepman,27.2,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0171,FZJ082-2 Soil,FZJ082,2,Soil,,5/1/25,Prepman,3.03,,6/10/25,y,Phytophthora pseudosyringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0172,FZJ082-3 Soil,FZJ082,3,Soil,,5/1/25,Prepman,11.2,,6/10/25,y,Globisporangium debaryanum,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0173,FZJ083-2 Soil,FZJ083,2,Soil,,5/1/25,Prepman,16.5,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0174,FZJ084-2 Soil,FZJ084,2,Soil,,5/1/25,Prepman,12.2,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0175,FZJ085-1 Soil,FZJ085,1,Soil,,5/1/25,Prepman,35,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0176,FZJ086-1 Soil,FZJ086,1,Soil,,5/1/25,Prepman,18.2,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0177,FZJ087-1 Soil,FZJ087,1,Soil,,5/1/25,Prepman,22.3,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0178,FZJ088-1 Soil,FZJ088,1,Soil,,5/1/25,Prepman,23.1,,6/10/25,y,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0179,FZJ088-2 Soil,FZJ088,2,Soil,,5/1/25,Prepman,14,,5/22/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0180,FZJ089-1 Soil,FZJ089,1,Soil,,5/1/25,Prepman,9.34,,5/22/25,y,Phytophthora attenuata,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0231,FZJ090-1 Soil,FZJ090,1,Soil,,6/4/25,Prepman,0.345,,6/12/25,y,Phytophthora pseudosyringae,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0181,FZJ090-2 Soil,FZJ090,2,Soil,,5/1/25,Prepman,24.7,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0182,FZJ090-3 Soil,FZJ090,3,Soil,,5/1/25,Prepman,10.5,,6/10/25,y,Phytopythium sp. 1,Phytopythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0183,FZJ091-1 Soil,FZJ091,1,Soil,,5/1/25,Prepman,20.2,,6/10/25,y,Pythium senticosum,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0184,FZJ095-1 Soil,FZJ095,1,Soil,,5/1/25,Prepman,32.4,,6/10/25,y,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0185,FZJ096-1 Soil,FZJ096,1,Soil,,5/1/25,Prepman,9.43,,5/22/25,y,Phytophthora plurivora,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0186,FZJ097-3,FZJ097,3,,,5/1/25,Prepman,34.6,,6/12/25,,Globisporangium intermedium,Globisporangium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0187,FZJ098-1 Soil,FZJ098,1,Soil,,5/1/25,Prepman,22.3,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0188,FZJ100-1 Soil,FZJ100,1,Soil,,5/1/25,Prepman,22.7,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0189,FZJ100-2 Soil,FZJ100,2,Soil,,5/6/25,Prepman,9.87,,6/12/25,y,Phytophthora nemrosa,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0228,FZJ102-1 Soil,FZJ102,1,Soil,,6/4/25,Prepman,1.67,,6/12/25,,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0190,FZJ104-1 Soil,FZJ104,1,Soil,,5/6/25,Prepman,35.8,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0191,FZJ104-2 Soil,FZJ104,2,Soil,,5/6/25,Prepman,11.5,,5/22/25,y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0192,FZJ105-1 Soil,FZJ105,1,Soil,,5/6/25,Prepman,26.1,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0193,FZJ105-2 Soil,FZJ105,2,Soil,,5/6/25,Prepman,29.3,,5/22/25,y,Phytophthora flexuosa?,Phytophthora,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0194,FZJ105-3 Soil,FZJ105,3,Soil,,5/6/25,Prepman,33.2,,6/12/25,,Pythium attrantheridium,Pythium,Oomycete,,,,,,,,,,,,,,,,,,,,,,
FHL0195,FZJ106-1 Root,FZJ106,1,Root,Y,5/6/25,Prepman,5.13,,"5/8/2025, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
FHL0078,FZJ106-2 ROOT,FZJ106,2,ROOT,Y,4/2/25,Prepman,3.89,,"5/8/2025, 5/13/25, 5/16/25",y,,,Fungi,,,,,,,,,,,,,,,,,,,,,,
,FZJ107-1 Soil,FZJ107,1,Soil,,5/6/25,Prepman,,Not enough mycelia growth to extract,,,,,,,,,,,,,,,,,,,,,,,,,,,
