Sample ID,Collection Date,iNat User,url,place_guess,latitude,longitude,scientific_name,common_name,plant health condition,plant symptom,Dieback percent,site type,site/area disturbance level,site hydrology,site/location description,slope position,percent of plants (of same species) affected within sight (%),regeneration present?,soil sample number,Phytophthora likely,Notes,Notes Extra
FZJ011,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539500,"Seward Park, Seattle, WA, US",47.55448,-122.25,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,55,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,Yes there are new plants,seward sf1,Yes,,
FZJ012,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539633,"Seward Park, Seattle, WA, US",47.55478,-122.25,Polystichum munitum,western sword fern,Dead,No Selection,100,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),3,No there are not any new plants,Seward sf2,Yes,,
FZJ013,10/28/24,imontejano05,https://www.inaturalist.org/observations/249539788,"Seward Park, Seattle, WA, US",47.5549,-122.25,Polystichum munitum,western sword fern,No Selection,No Selection,100,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf3,,Cyathus Striatus growing on dead Fern,
FZJ014,10/28/24,imontejano05,https://www.inaturalist.org/observations/249540600,"Seward Park, Seattle, WA, US",47.55563,-122.251,Polystichum munitum,western sword fern,No Selection,No Selection,75,No Selection,No Selection,No Selection,No Selection,No selection,2,No Selection,Seward sf4,Yes,,
FZJ015,10/28/24,imontejano05,https://www.inaturalist.org/observations/249542126,"Seward Park, Seattle, WA, US",47.55588,-122.251,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,70,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),35,No there are not any new plants,Seward sf5,Yes,,
FZJ016,10/28/24,imontejano05,https://www.inaturalist.org/observations/249542209,"Seward Park, Seattle, WA, US",47.55628,-122.251,Polystichum munitum,western sword fern,Dead,Dead,100,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),75,No there are not any new plants,Seward sf6,,,
FZJ017,10/28/24,imontejano05,https://www.inaturalist.org/observations/249543025,"Seward Park, Seattle, WA, US",47.55705,-122.252,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,3,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),1,No there are not any new plants,Seward sf7,,,
FZJ018,10/28/24,imontejano05,https://www.inaturalist.org/observations/249543399,"Seward Park, Seattle, WA, US",47.55739,-122.252,Polystichum munitum,western sword fern,Good,Healthy,2,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,No there are not any new plants,Seward sf8,Yes,,
FZJ019,10/28/24,imontejano05,https://www.inaturalist.org/observations/249658770,"Seward Park, Seattle, WA, US",,,Polystichum munitum,western sword fern,Good,Healthy,1,Suburban,"Medium (moderately used trails, etc)",Upland or well drained,Urban yard or open park grounds,Area is flat (e.g. field),0,Not Sure,Seward sf9,Yes,"Original upload failed, no location",
FZJ020,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451034,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 1,,,
FZJ021,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451035,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 2,,,
FZJ022,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451036,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Dead,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 3,,"No roots, soil sample only",
FZJ023,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259451037,"Blakely Harbor, Bainbridge Island, WA, US",47.59631,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,10,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Lower slope,60,No there are not any new plants,Fort Ward site 4,,"No soil sample, roots only",
FZJ024,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259453708,"Blakely Harbor, Bainbridge Island, WA, US",47.59663,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Inside a forest canopy,Lower slope,10,Yes there are new plants,fort ward site 2,,,
FZJ025,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259453709,"Blakely Harbor, Bainbridge Island, WA, US",47.59663,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Inside a forest canopy,Lower slope,10,Yes there are new plants,fort ward site 2,,,
FZJ026,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259453710,"Blakely Harbor, Bainbridge Island, WA, US",47.59663,-122.524,Polystichum munitum,western sword fern,Dead,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Inside a forest canopy,Lower slope,10,Yes there are new plants,fort ward site 2,,"No roots, soil sample only",
FZJ027,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259453711,"Blakely Harbor, Bainbridge Island, WA, US",47.59663,-122.524,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Seasonally flooded area,Inside a forest canopy,Lower slope,10,Yes there are new plants,fort ward site 2,,"No soil sample, roots only",
FZJ028,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259459909,"Blakely Harbor, Bainbridge Island, WA, US",47.59651,-122.523,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),45,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,70,Yes there are new plants,fort ward site 3,,,
FZJ029,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259459910,"Blakely Harbor, Bainbridge Island, WA, US",47.59651,-122.523,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),45,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,70,Yes there are new plants,fort ward site 3,,,
FZJ030,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259459911,"Blakely Harbor, Bainbridge Island, WA, US",47.59651,-122.523,Polystichum munitum,western sword fern,Dead,Multiple Symptoms (Please describe in Notes),45,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,70,Yes there are new plants,fort ward site 3,,"No roots, soil sample only",
FZJ031,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259459912,"Blakely Harbor, Bainbridge Island, WA, US",47.59651,-122.523,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),45,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,70,Yes there are new plants,fort ward site 3,,"No soil sample, roots only",
FZJ032,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259460146,"Bainbridge Island, Bainbridge Island, WA, US",47.59815,-122.519,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Top of slope,30,Yes there are new plants,blakely cemetery  site 1,,,
FZJ033,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259460147,"Bainbridge Island, Bainbridge Island, WA, US",47.59815,-122.519,Polystichum munitum,western sword fern,Dead,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Top of slope,30,Yes there are new plants,blakely cemetery  site 1,,"No roots, soil sample only",
FZJ034,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259460148,"Bainbridge Island, Bainbridge Island, WA, US",47.59815,-122.519,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Top of slope,30,Yes there are new plants,blakely cemetery  site 1,,,
FZJ035,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259460149,"Bainbridge Island, Bainbridge Island, WA, US",47.59815,-122.519,Polystichum munitum,western sword fern,Poor,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Top of slope,30,Yes there are new plants,blakely cemetery  site 1,,"No soil sample, roots only",
FZJ036,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259462788,"Bainbridge Island, Bainbridge Island, WA, US",47.59892,-122.519,Polystichum munitum,western sword fern,Dead,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,Yes there are new plants,blakely cemetery trail site 2,,"No roots, soil sample only",
FZJ037,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259462789,"Bainbridge Island, Bainbridge Island, WA, US",47.59892,-122.519,Polystichum munitum,western sword fern,Fair,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,Yes there are new plants,blakely cemetery trail site 2,,,
FZJ038,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259462790,"Bainbridge Island, Bainbridge Island, WA, US",47.59892,-122.519,Polystichum munitum,western sword fern,Fair,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,Yes there are new plants,blakely cemetery trail site 2,,,
FZJ039,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259462791,"Bainbridge Island, Bainbridge Island, WA, US",47.59892,-122.519,Polystichum munitum,western sword fern,Fair,Browning fronds,5,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Inside a forest canopy,Middle of a slope,15,Yes there are new plants,blakely cemetery trail site 2,,"No soil sample, roots only",
FZJ040,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259781454,"Blakely Harbor, Bainbridge Island, WA, US",47.59738,-122.519,Polystichum munitum,western sword fern,Dead,Browning fronds,20,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,70,Yes there are new plants,blakely harbor site 1,Yes,"No roots, soil sample only",
FZJ041,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259781454,"Blakely Harbor, Bainbridge Island, WA, US",47.59738,-122.519,Polystichum munitum,western sword fern,Poor,Browning fronds,20,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,70,Yes there are new plants,blakely harbor site 1,,"No roots, soil sample only",
FZJ042,1/24/25,figgywiggums,https://www.inaturalist.org/observations/259781454,"Blakely Harbor, Bainbridge Island, WA, US",47.59738,-122.519,Polystichum munitum,western sword fern,Poor,Browning fronds,20,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Forest edge,Lower slope,70,Yes there are new plants,blakely harbor site 1,,"No roots, soil sample only",
FZJ043,2/10/25,figgywiggums,https://www.inaturalist.org/observations/261274927,"Four Hundred Sixty-Second Street East, Eatonville, WA, US",46.84846,-122.297,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,50,Rural,"Medium (moderately used trails, etc)",No Selection,No Selection,No selection,35,No Selection,"Mashel Falls, Site 1, Fern 2",Yes,Dying,"***NOTE: While trying to download the iNat data ferns 2-3 didn't upload. I had to turn on the projecct again and the information was there, but once I uploaded it it all deleted so I am using Fern 1 conditions for all ferns like we would when just doing full site descriptions but using the photos to find dieback percetn"
FZJ044,2/10/25,figgywiggums,https://www.inaturalist.org/observations/261275929,"Four Hundred Sixty-Second Street East, Eatonville, WA, US",46.84871,-122.297,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,3,Rural,"Medium (moderately used trails, etc)",No Selection,No Selection,No selection,35,No Selection,"Mashel Falls, Site 1, Fern3",,,"***NOTE: While trying to download the iNat data ferns 2-3 didn't upload. I had to turn on the projecct again and the information was there, but once I uploaded it it all deleted so I am using Fern 1 conditions for all ferns like we would when just doing full site descriptions but using the photos to find dieback percetn"
FZJ045,2/10/25,figgywiggums,https://www.inaturalist.org/observations/261275929,"Four Hundred Sixty-Second Street East, Eatonville, WA, US",46.84871,-122.297,Polystichum munitum,western sword fern,,Collapse of All Fronds,3,Rural,"Medium (moderately used trails, etc)",No Selection,No Selection,No selection,35,No Selection,"Mashel Falls, Site 1, Fern 4",,,"***NOTE: While trying to download the iNat data ferns 2-3 didn't upload. I had to turn on the projecct again and the information was there, but once I uploaded it it all deleted so I am using Fern 1 conditions for all ferns like we would when just doing full site descriptions but using the photos to find dieback percetn"
FZJ046,1/30/25,,,Zeeks Pizza,,,,,Dead,,,,,,,,,,,Yes,Fern stump,
FZJ047,1/30/25,,,Zeeks Pizza,,,,,Dead,,,,,,,,,,,,Fern stump,
FZJ048,2/17/25,imontejano05,https://www.inaturalist.org/observations/262174091,"Morganmarsh Ln W, Seabeck, WA, US",47.55717,-122.88,Polystichum munitum,western sword fern,Good,No Selection,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Other,Lower slope,15,Not Sure,Seabeck Site 1,,Fern 1,
FZJ049,2/17/25,imontejano05,https://www.inaturalist.org/observations/262174091,"Morganmarsh Ln W, Seabeck, WA, US",47.55717,-122.88,Polystichum munitum,western sword fern,Good,No Selection,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Other,Lower slope,15,Not Sure,Seabeck Site 1,,Fern 2,
FZJ050,2/17/25,imontejano05,https://www.inaturalist.org/observations/262174091,"Morganmarsh Ln W, Seabeck, WA, US",47.55717,-122.88,Polystichum munitum,western sword fern,Good,No Selection,15,Rural,"Medium (moderately used trails, etc)",Upland or well drained,Other,Lower slope,15,Not Sure,Seabeck Site 1,,Fern 3,
FZJ051,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262021905,"Morganmarsh Ln W, Seabeck, WA, US",47.55747,-122.881,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,15,No there are not any new plants,seabeck site 2,,Fern 1,
FZJ052,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262021905,"Morganmarsh Ln W, Seabeck, WA, US",47.55747,-122.881,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,15,No there are not any new plants,seabeck site 2,,Fern 2,
FZJ053,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262021905,"Morganmarsh Ln W, Seabeck, WA, US",47.55747,-122.881,Polystichum munitum,western sword fern,Good,Healthy,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,15,No there are not any new plants,seabeck site 2,,Fern 3,
FZJ054,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262023034,"Morganmarsh Ln W, Seabeck, WA, US",47.55708,-122.88,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,35,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,75,No there are not any new plants,seabeck site 3,,Fern 1,
FZJ055,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262023034,"Morganmarsh Ln W, Seabeck, WA, US",47.55708,-122.88,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,35,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,75,No there are not any new plants,seabeck site 3,,Fern 2,
FZJ056,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262023034,"Morganmarsh Ln W, Seabeck, WA, US",47.55708,-122.88,Polystichum munitum,western sword fern,Good,Collapse of Some Fronds,35,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,75,No there are not any new plants,seabeck site 3,,Fern 3,
FZJ057,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024701,"Morganmarsh Ln W, Seabeck, WA, US",47.55689,-122.88,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,70,No there are not any new plants,seabeck site 4,,Fern 1,
FZJ058,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024701,"Morganmarsh Ln W, Seabeck, WA, US",47.55689,-122.88,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,70,No there are not any new plants,seabeck site 4,,Fern 2,
FZJ059,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024701,"Morganmarsh Ln W, Seabeck, WA, US",47.55689,-122.88,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Riverbank,70,No there are not any new plants,seabeck site 4,,Fern 3,
FZJ060,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024825,"Morganmarsh Ln W, Seabeck, WA, US",47.55657,-122.88,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),75,Rural,"Low - fairly natural, not much development",Upland or well drained,Inside a forest canopy,Middle of a slope,80,No there are not any new plants,seabeck site 5,,Fern 1,
FZJ061,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024825,"Morganmarsh Ln W, Seabeck, WA, US",47.55657,-122.88,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),75,Rural,"Low - fairly natural, not much development",Upland or well drained,Inside a forest canopy,Middle of a slope,80,No there are not any new plants,seabeck site 5,,Fern 2,
FZJ062,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262024825,"Morganmarsh Ln W, Seabeck, WA, US",47.55657,-122.88,Polystichum munitum,western sword fern,Poor,Multiple Symptoms (Please describe in Notes),75,Rural,"Low - fairly natural, not much development",Upland or well drained,Inside a forest canopy,Middle of a slope,80,No there are not any new plants,seabeck site 5,,Fern 3,
FZJ063,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262172745,"Morganmarsh Ln W, Seabeck, WA, US",47.55661,-122.88,Polystichum munitum,western sword fern,Dead,Dead,100,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,85,Yes there are new plants,seabeck site 6,,Fern 1,
FZJ064,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262172745,"Morganmarsh Ln W, Seabeck, WA, US",47.55661,-122.88,Polystichum munitum,western sword fern,Dead,Dead,100,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,85,Yes there are new plants,seabeck site 6,,Fern 2,
FZJ065,2/17/25,figgywiggums,https://www.inaturalist.org/observations/262172745,"Morganmarsh Ln W, Seabeck, WA, US",47.55661,-122.88,Polystichum munitum,western sword fern,Dead,Dead,100,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,85,Yes there are new plants,seabeck site 6,,Fern 3,
FZJ066,2/10/25,imontejano05,https://www.inaturalist.org/observations/261273420,"Four Hundred Sixty-Second Street East, Eatonville, WA, US",46.8485,-122.297,Polystichum munitum,western sword fern,Dead,Collapse of All Fronds,100,Rural,"Medium (moderately used trails, etc)",No Selection,No Selection,No selection,35,Yes there are new plants,"Mashel Falls, Site 1, Fern 1",,Dead,"***NOTE: While trying to download the iNat data ferns 2-3 didn't upload. I had to turn on the projecct again and the information was there, but once I uploaded it it all deleted so I am using Fern 1 conditions for all ferns like we would when just doing full site descriptions but using the photos to find dieback percetn"
FZJ067,2/21/25,imontejano05,https://www.inaturalist.org/observations/262595020,"SE 158th St, Issaquah, WA, US",47.46098487,-121.9876788,Polystichum munitum,western sword fern,Good,Browning fronds,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,2,No there are not any new plants,Issaquah Site 1 Fern 1,,Healthy,
FZJ068,2/21/25,imontejano05,https://www.inaturalist.org/observations/262595020,"SE 158th St, Issaquah, WA, US",47.46098487,-121.9876788,Polystichum munitum,western sword fern,Good,Browning fronds,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,2,No there are not any new plants,Issaquah Site 1 Fern 2,,Healthy,
FZJ069,2/21/25,imontejano05,https://www.inaturalist.org/observations/262595020,"SE 158th St, Issaquah, WA, US",47.46098487,-121.9876788,Polystichum munitum,western sword fern,Good,Browning fronds,2,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Top of slope,2,No there are not any new plants,Issaquah Site 1 Fern 3,,Healthy,
FZJ070,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 1,Yes,Healthy,
FZJ071,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 2,,Healthy,
FZJ072,2/21/25,imontejano05,https://www.inaturalist.org/observations/262597872,"SE 158th St, Issaquah, WA, US",47.46083457,-121.9877535,Polystichum munitum,western sword fern,Good,Healthy,0,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Middle of a slope,1,No there are not any new plants,Issaquah Site 2 Fern 3,,Healthy,
FZJ073,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 1,,"Dead/dying site, dying",
FZJ074,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 2,,"Dead/dying site, dying",
FZJ075,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 3,,"Dead/Dying site, stump",
FZJ076,2/21/25,imontejano05,https://www.inaturalist.org/observations/262600866,"SE 158th St, Issaquah, WA, US",47.4607238,-121.9878334,Polystichum munitum,western sword fern,Poor,Browning fronds,45,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,45,No there are not any new plants,Issaquah Site 3 Fern 4,,"Dead/Dying site, stump",
FZJ077,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 1,,"Dead/dying site, dying",
FZJ078,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 2,,"Dead/dying site, dying",
FZJ079,2/21/25,imontejano05,https://www.inaturalist.org/observations/262607476,"SE 158th St, Issaquah, WA, US",47.46058471,-121.9879506,Polystichum munitum,western sword fern,Poor,Collapse of Some Fronds,60,Rural,"Low - fairly natural, not much development",Upland or well drained,Forest edge,Lower slope,60,No there are not any new plants,Issaquah Site 4 Fern 3,,"Dead/Dying site, stump",
